"s","a","r","sp"
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,74
74,0,-1,199
199,0,-1,199
199,0,-1,174
174,0,-1,174
174,0,-1,174
174,0,-1,174
174,0,-1,174
174,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,48
48,0,-1,48
48,0,-1,48
48,0,-1,48
48,0,-1,123
123,0,-1,123
123,0,-1,123
123,0,-1,122
122,0,-1,122
122,0,-1,122
122,0,-1,122
122,0,-1,122
122,0,-1,122
122,0,-1,247
247,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,521
521,0,-1,521
521,0,-1,521
521,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,497
497,0,-1,497
497,0,-1,497
497,0,-1,497
497,0,-1,497
497,0,-1,497
497,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,449
449,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,373
373,1,0,0
246,0,-1,246
246,0,-1,246
246,0,-1,246
246,0,-1,273
273,0,-1,273
273,0,-1,273
273,0,-1,273
273,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,272
272,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,271
271,0,-1,521
521,0,-1,521
521,0,-1,521
521,0,-1,499
499,0,-1,499
499,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,393
393,0,-1,393
393,0,-1,393
393,0,-1,393
393,0,-1,393
393,0,-1,388
388,0,-1,388
388,0,-1,388
388,0,-1,387
387,0,-1,387
387,0,-1,387
387,0,-1,387
387,0,-1,387
387,0,-1,382
382,0,-1,382
382,0,-1,382
382,0,-1,382
382,0,-1,382
382,0,-1,382
382,0,-1,382
382,0,-1,381
381,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,376
376,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,373
373,0,-1,372
372,0,-1,372
372,0,-1,372
372,0,-1,372
372,0,-1,372
372,0,-1,372
372,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,371
371,0,-1,174
174,0,-1,174
174,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,172
172,0,-1,172
172,0,-1,172
172,0,-1,172
172,0,-1,172
172,0,-1,172
172,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,171
171,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,396
396,0,-1,396
396,0,-1,396
396,0,-1,93
93,0,-1,88
88,0,-1,87
87,0,-1,87
87,0,-1,87
87,0,-1,87
87,0,-1,87
87,0,-1,87
87,0,-1,82
82,0,-1,82
82,0,-1,82
82,0,-1,82
82,0,-1,82
82,0,-1,82
82,0,-1,81
81,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,76
76,0,-1,81
81,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,6
6,0,-1,6
6,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,7
7,0,-1,6
6,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,6
6,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,131
131,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,506
506,0,-1,232
232,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,237
237,0,-1,236
236,0,-1,236
236,0,-1,241
241,0,-1,241
241,0,-1,241
241,0,-1,241
241,0,-1,241
241,0,-1,241
241,0,-1,366
366,0,-1,366
366,0,-1,366
366,0,-1,366
366,0,-1,418
418,0,-1,412
412,0,-1,412
412,0,-1,412
412,0,-1,412
412,0,-1,412
412,0,-1,412
412,0,-1,407
407,0,-1,407
407,0,-1,407
407,0,-1,407
407,0,-1,407
407,0,-1,407
407,0,-1,432
432,0,-1,431
431,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,426
426,0,-1,301
301,0,-1,301
301,0,-1,301
301,0,-1,301
301,0,-1,301
301,0,-1,301
301,0,-1,306
306,0,-1,431
431,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,474
474,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,473
473,0,-1,472
472,0,-1,472
472,0,-1,472
472,0,-1,472
472,0,-1,472
472,0,-1,472
472,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,471
471,0,-1,100
100,0,-1,100
100,0,-1,100
100,0,-1,100
100,0,-1,100
100,1,-2,0
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,475
475,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,450
450,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,499
499,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,498
498,0,-1,493
493,0,-1,493
493,0,-1,493
493,1,-1,0
497,0,-1,497
497,0,-1,497
497,0,-1,497
497,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,496
496,0,-1,621
621,0,-1,621
621,0,-1,621
621,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,500
500,0,-1,499
499,0,-1,499
499,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,449
449,0,-1,424
424,0,-1,424
424,0,-1,424
424,0,-1,424
424,0,-1,423
423,0,-1,423
423,0,-1,423
423,0,-1,423
423,0,-1,423
423,0,-1,423
423,0,-1,498
498,0,-1,498
498,0,-1,493
493,0,-1,493
493,0,-1,493
493,0,-1,493
493,0,-1,493
493,0,-1,493
493,0,-1,487
487,0,-1,487
487,0,-1,487
487,0,-1,487
487,0,-1,487
487,0,-1,487
487,0,-1,482
482,0,-1,482
482,0,-1,482
482,0,-1,482
482,0,-1,482
482,0,-1,482
482,0,-1,482
482,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,476
476,0,-1,481
481,0,-1,606
606,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,124
124,0,-1,249
249,0,-1,249
249,0,-1,249
249,0,-1,249
249,1,-1,0
482,0,-1,482
482,0,-1,482
482,0,-1,481
481,0,-1,476
476,0,-1,476
476,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,351
351,0,-1,356
356,0,-1,356
356,0,-1,174
174,0,-1,174
174,0,-1,174
174,0,-1,174
174,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,173
173,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,143
143,0,-1,143
143,0,-1,143
143,0,-1,143
143,0,-1,143
143,0,-1,138
138,0,-1,138
138,0,-1,138
138,0,-1,137
137,0,-1,137
137,0,-1,137
137,0,-1,137
137,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,2
2,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,501
501,0,-1,501
501,0,-1,501
501,0,-1,501
501,0,-1,501
501,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,101
101,0,-1,377
377,0,-1,377
377,0,-1,377
377,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,252
252,0,-1,257
257,0,-1,257
257,0,-1,257
257,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
