"s","a","r","sp"
641,0,-1,16193
16193,0,-1,16193
16193,0,-1,21377
21377,0,-1,16193
16193,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,62848
62848,0,-1,21376
21376,0,-1,21376
21376,0,-1,73216
73216,0,-1,36928
36928,0,-1,36928
36928,0,-1,36928
36928,0,-1,41464
41464,0,-1,41464
41464,0,-1,77752
77752,0,-1,255287
255287,0,-1,255287
255287,0,-1,255286
255286,0,-1,255277
255277,0,-1,255277
255277,0,-1,255277
255277,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254593
254593,0,-1,254593
254593,1,-22,3844
3844,0,-1,257860
257860,0,-1,257860
257860,0,-1,257860
257860,0,-1,216388
216388,0,-1,257860
257860,0,-1,257851
257851,0,-1,257851
257851,0,-1,257851
257851,0,-1,257851
257851,0,-1,257842
257842,0,-1,257842
257842,0,-1,257842
257842,0,-1,257842
257842,0,-1,257833
257833,0,-1,257833
257833,0,-1,257833
257833,0,-1,257824
257824,0,-1,257824
257824,0,-1,257824
257824,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,295408
295408,0,-1,295417
295417,0,-1,150265
150265,0,-1,77689
77689,0,-1,77698
77698,0,-1,77698
77698,0,-1,109508
109508,0,-1,145796
145796,0,-1,109508
109508,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,0,-1,99059
99059,1,-1,641
641,0,-1,135425
135425,0,-1,176897
176897,0,-1,176897
176897,0,-1,135425
135425,0,-1,176897
176897,0,-1,99137
99137,0,-1,57665
57665,0,-1,16193
16193,0,-1,21377
21377,0,-1,16193
16193,0,-1,16193
16193,0,-1,21377
21377,0,-1,21377
21377,0,-1,21377
21377,0,-1,93952
93952,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
