"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
"2.0",17.8,8.394533780995235e-16,13.70931404359173,0.0,0.0,90.0,0,0,NA,99.03158447154755,"fff"
"2.0",18.0,8.416546368767163e-16,13.745263327560387,NA,NA,90.0,0,0,NA,96.28292429638365,NA
"2.0",18.2,8.409400536648541e-16,13.73359329808969,NA,NA,90.0,0,0,NA,93.5366208335442,NA
"2.0",18.4,8.410725953506719e-16,13.735757868085058,NA,NA,90.0,0,0,NA,90.78990964855689,NA
"2.0",18.6,8.404135180959941e-16,13.724994319686667,NA,NA,90.0,0,0,NA,88.04537827527275,NA
"2.0",18.8,8.508411391992055e-16,13.895290295807644,NA,NA,90.0,0,0,NA,85.26682416707598,NA
"2.0",19.0,8.451289466653035e-16,13.802003112304956,NA,NA,90.0,0,0,NA,82.50695771698005,NA
"2.0",19.2,8.486407714638453e-16,13.859355563656427,NA,NA,90.0,0,0,NA,79.73566020901035,NA
"2.0",19.4,8.447912318952238e-16,13.796487811561674,NA,NA,90.0,0,0,NA,76.97697467460286,NA
"2.0",19.6,8.490169180550999e-16,13.865498503670096,NA,NA,90.0,0,0,NA,74.20453591672471,NA
"2.0",19.8,8.4133725553276035e-16,13.740080096866004,NA,NA,90.0,0,0,NA,71.45722546130732,NA
"2.0",20.0,8.419105824500208e-16,13.749443235979415,NA,NA,90.0,0,0,NA,68.70809934813713,NA
"2.0",20.2,8.488506571064219e-16,13.862783256322146,NA,NA,90.0,0,0,NA,65.9363758996056,NA
"2.0",20.4,8.396214077282263e-16,13.712058175676503,NA,NA,90.0,0,0,NA,63.194860319720334,NA
"2.0",20.6,8.477557186121454e-16,13.84490155369509,NA,NA,90.0,0,0,NA,60.42686725071475,NA
"2.0",20.8,8.3918120188544515e-16,13.70486906869337,NA,NA,90.0,0,0,NA,57.686964019185034,NA
"2.0",21.0,8.498654402303866e-16,13.879355922411197,NA,NA,90.0,0,0,NA,54.91228595316352,NA
"2.0",21.2,8.420474083151438e-16,13.751677771932446,NA,NA,90.0,0,0,NA,52.163257751723776,NA
"2.0",21.4,8.44709652699498e-16,13.795155522190035,NA,NA,90.0,0,0,NA,49.40568434658307,NA
"2.0",21.6,8.461367222652957e-16,13.818461336842738,NA,NA,90.0,0,0,NA,46.64362508270294,NA
"2.0",21.8,8.358135868862482e-16,13.649871742092074,NA,NA,90.0,0,0,NA,43.915465546002125,NA
"2.0",22.0,8.392812933506839e-16,13.706503686369397,NA,NA,90.0,0,0,NA,41.176229213004504,NA
"2.0",22.2,8.444500231971892e-16,13.790915450644679,NA,NA,90.0,0,0,NA,38.42042044786715,NA
"2.0",22.4,8.366448350682041e-16,13.663447055113503,NA,NA,90.0,0,0,NA,35.6904451689896,NA
"2.0",22.6,8.383993451505294e-16,13.692100379215553,NA,NA,90.0,0,0,NA,32.95519623179952,NA
"2.0",22.8,8.507299052054955e-16,13.893473706832156,NA,NA,90.0,0,0,NA,30.180307159199224,NA
"2.0",23.0,8.476877273345329e-16,13.843791171866469,NA,NA,90.0,0,0,NA,27.416107766086753,NA
"2.0",23.2,8.452012205839164e-16,13.803183434968815,NA,NA,90.0,0,0,NA,24.66103489614721,NA
"2.0",23.4,8.477238348028652e-16,13.844380851574243,NA,NA,90.0,0,0,NA,21.89914682543774,NA
"2.0",23.6,8.435483460802778e-16,13.7761899458291,NA,NA,90.0,0,0,NA,19.152865686127544,NA
"2.0",23.8,8.355444701160831e-16,13.645476731704548,NA,NA,90.0,0,0,NA,16.43559807707529,NA
"2.0",24.0,8.381505131441569e-16,13.688036644160748,NA,NA,90.0,0,0,NA,13.714575243614444,NA
"2.0",24.2,8.395556425187431e-16,13.710984148299321,NA,NA,90.0,0,0,NA,10.997246459648526,NA
"2.0",24.4,8.458508617091841e-16,13.81379287967924,NA,NA,90.0,0,0,NA,8.27614872843374,NA
"2.0",24.6,8.416750623972659e-16,13.745596901625396,NA,NA,90.0,0,0,NA,5.609061061227688,NA
"2.0",24.8,-1.6833803008251302,13.834216661797837,NA,NA,96.98920701313006,NA,NA,NA,3.5284241828539153,NA
"2.0",25.0,-9.356013201234312,13.680524959894829,NA,NA,133.14859814772376,NA,NA,NA,4.932522835560963,NA
"1.0",25.2,8.37500347271561e-16,13.677418629676104,NA,NA,90.0,0,0,NA,99.85247208321508,NA
"2.0",25.2,-13.727299849690558,13.8648158007022,NA,NA,171.92362031648304,0,0,NA,7.596390471000834,NA
"1.0",25.4,8.45633564142649e-16,13.810244141109289,NA,NA,90.0,0,0,NA,97.0908111041139,NA
"2.0",25.4,-13.738458879794926,13.738458879794926,NA,NA,180.0,0,0,NA,10.295794487880057,NA
"1.0",25.6,8.472479117652796e-16,13.836608438533732,NA,NA,90.0,0,0,NA,94.3239007838954,NA
"2.0",25.6,-13.707831183229573,13.707831183229573,NA,NA,180.0,0,0,NA,13.009347075291824,NA
"1.0",25.8,8.430057394725634e-16,13.76732850744389,NA,NA,90.0,0,0,NA,91.57086906542075,NA
"2.0",25.8,-13.695331123559736,13.695331123559736,NA,NA,180.0,0,0,NA,15.730129878252125,NA
"1.0",26.0,8.430866293742252e-16,13.768649539789186,NA,NA,90.0,0,0,NA,88.81760009199633,NA
"2.0",26.0,-13.840391070526094,13.840391070526094,NA,NA,180.0,0,0,NA,18.485218175617526,NA
"1.0",26.2,8.432500542371629e-16,13.771318470342084,NA,NA,90.0,0,0,NA,86.06382692438434,NA
"2.0",26.2,-13.73515023667831,13.73515023667831,NA,NA,180.0,0,0,NA,21.22269948320138,NA
"1.0",26.4,8.486162727860699e-16,13.858955469885842,NA,NA,90.0,0,0,NA,83.29256222666996,NA
"2.0",26.4,-13.69826910537202,13.69826910537202,NA,NA,180.0,0,0,NA,23.95500769477649,NA
"1.0",26.6,8.454241589108569e-16,13.806824294147082,NA,NA,90.0,0,0,NA,80.53175781208057,NA
"2.0",26.6,-13.682996425693855,13.682996425693855,NA,NA,180.0,0,0,NA,26.685773313974522,NA
"1.0",26.8,8.436192503069841e-16,13.777347899726593,NA,NA,90.0,0,0,NA,77.77688714416297,NA
"2.0",26.8,-13.681308068060316,13.681308068060316,NA,NA,180.0,0,0,NA,29.417286019774867,NA
