"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
2.0,18.0,8.416546368767163e-16,13.745263327560387,1.1006293885964093e-17,0.17974641984328585,90.0,0,0,NA,96.28292429638365,"right"
2.0,18.2,8.409400536648541e-16,13.73359329808969,-3.5729160593109774e-18,-0.0583501473534833,90.0,0,0,NA,93.5366208335442,"right"
2.0,18.4,8.410725953506719e-16,13.735757868085058,6.62708429089217e-19,0.010822849976834841,90.0,0,0,NA,90.78990964855689,"right"
2.0,18.6,8.404135180959941e-16,13.724994319686667,-3.2953862733891623e-18,-0.053817741991952966,90.0,0,0,NA,88.04537827527275,"right"
2.0,18.8,8.508411391992055e-16,13.895290295807644,5.213810551605725e-17,0.8514798806048892,90.0,0,0,NA,85.26682416707598,"right"
2.0,19.0,8.451289466653035e-16,13.802003112304956,-2.856096266951027e-17,-0.46643591751344526,90.0,0,0,NA,82.50695771698005,"right"
2.0,19.2,8.486407714638453e-16,13.859355563656427,1.7559123992708988e-17,0.286762256757359,90.0,0,0,NA,79.73566020901035,"right"
2.0,19.4,8.447912318952238e-16,13.796487811561674,-1.9247697843107612e-17,-0.31433876047376796,90.0,0,0,NA,76.97697467460286,"right"
2.0,19.6,8.490169180550999e-16,13.865498503670096,2.112843079938083e-17,0.34505346054211417,90.0,0,0,NA,74.20453591672471,"right"
2.0,19.8,8.4133725553276035e-16,13.740080096866004,-3.839831261169801e-17,-0.6270920340204644,90.0,0,0,NA,71.45722546130732,"right"
2.0,20.0,8.419105824500208e-16,13.749443235979415,2.8666345863024183e-18,0.04681569556705528,90.0,0,0,NA,68.70809934813713,"right"
2.0,20.2,8.488506571064219e-16,13.862783256322146,3.470037328200532e-17,0.5667001017136573,90.0,0,0,NA,65.9363758996056,"right"
2.0,20.4,8.396214077282263e-16,13.712058175676503,-4.614624689097801e-17,-0.7536254032282157,90.0,0,0,NA,63.194860319720334,"right"
